Wall time,Step,Value
1591180330.313445,481,16.0
1591180581.677203,1521,16.0
1591180702.506937,2001,16.0
1591181024.82081,3281,16.0
1591181062.98251,3441,16.0
1591181119.996762,3681,16.5
1591181280.860775,4321,16.5
1591181338.819074,4561,16.0
1591181639.057036,5761,16.5
1591181699.315216,6001,16.0
1591182097.865864,7601,16.5
1591182263.822522,8241,16.0
1591182341.738055,8561,16.0
1591182788.801086,10161,16.0
1591183065.731831,11201,16.5
1591183401.882934,12481,16.5
1591183463.873365,12721,16.0
1591183650.108442,13441,16.5
1591183872.624828,14321,16.0
1591183972.770037,14721,16.5
1591184009.86413,14881,16.5
1591184028.276871,14961,16.0
1591184115.395382,15281,16.5
1591184460.058075,16641,16.0
1591184778.819681,17921,16.5
1591184904.662422,18401,16.0
1591185003.38782,18801,16.0
1591185354.084743,20001,16.0
1591185484.111827,20481,16.5
1591185587.578317,20881,16.5
1591185754.726878,21441,16.0
1591185837.269556,21761,16.0
1591185884.270305,21921,16.0
1591186283.454776,23441,16.0
1591186659.874093,24721,16.5
1591186698.301123,24881,16.0
1591186881.249766,25521,16.5
1591187136.448901,26481,16.5
1591187325.61211,27201,16.5
1591187492.348399,27841,16.5
1591187848.390205,29121,16.0
1591187933.084105,29441,16.5
1591189112.752446,33761,16.0
1591189133.223986,33841,16.5
1591189526.915255,35201,16.0
1591189593.436124,35441,16.0
1591189653.842571,35681,16.5
1591189976.722202,36881,16.0
1591190039.403927,37121,16.0
1591190061.179604,37201,16.5
1591190281.018549,38001,16.5
1591190632.295822,39361,16.5
1591190670.144352,39521,16.0
1591191163.144259,41201,16.0
1591191222.728811,41441,16.5
1591191519.96823,42561,16.5
1591191628.068002,42961,16.0
1591192071.827074,44641,16.0
1591192207.675057,45121,16.0
1591192433.723057,45921,16.0
1591192569.530511,46401,16.0
1591192617.392106,46561,16.5
1591192726.474654,46961,16.0
1591192746.35453,47041,16.5
1591193095.160935,48241,16.5
1591193496.119673,49681,16.0
1591193542.434502,49841,16.0
1591193871.950357,50801,16.0
1591194025.121225,51361,16.5
1591194049.777585,51441,16.0
1591194096.430824,51601,16.0
1591194165.623396,51841,16.0
1591194209.192364,52001,16.0
1591194486.669066,52961,16.5
1591194721.335375,53761,16.0
1591194998.145304,54721,16.5
1591195118.864177,55121,16.0
1591195738.57714,57201,16.5
1591195827.88352,57521,16.0
1591195920.401705,57841,16.5
1591195943.528627,57921,16.5
1591196097.788752,58481,16.5
1591196320.02583,59201,16.5
1591196417.513267,59521,16.5
1591196509.296298,59841,16.5
1591196671.490086,60241,16.0
1591196763.82512,60561,16.0
1591197185.748479,61281,16.5
1591197283.611115,61601,16.0
1591197329.714327,61761,16.5
1591197377.988305,61921,16.0
1591197543.183961,62481,16.5
1591197665.300064,62881,16.0
1591197713.253791,63041,16.0
1591197839.135525,63441,16.5
1591197889.475661,63601,16.5
1591197994.210768,63921,16.5
1591198093.378851,64241,16.0
1591198299.993168,64721,16.5
1591198329.305965,64801,16.5
1591198935.206637,66641,16.0
1591199034.54648,66961,16.0
1591199777.691714,69601,16.0
1591199940.291054,70001,16.0
1591199992.71049,70161,16.0
1591200140.990745,70641,16.5
1591200458.041401,71761,16.0
1591200555.735607,72081,16.0
1591200725.126653,72641,16.5
1591200775.468395,72801,16.0
1591200932.160239,73281,16.5
1591200975.874419,73441,16.0
1591201311.150036,74561,16.0
1591201335.963794,74641,16.5
1591201567.051769,75441,16.0
1591201635.624279,75681,16.0
1591201857.688989,76401,16.0
1591201952.66323,76721,16.0
1591202041.85661,77041,16.5
1591202250.654904,77761,16.0
1591202273.943624,77841,16.0
1591202413.573391,78321,16.0
1591202433.920205,78401,16.0
1591202557.098387,78801,16.0
1591202835.308731,79761,16.0
1591203020.980039,80241,16.5
1591203086.944084,80481,16.5
1591203296.219762,81201,16.5
1591203566.245114,82081,16.5
1591203996.981312,83601,16.0
1591204352.369422,84641,16.5
1591204504.968909,85121,16.0
1591204574.963028,85361,16.5
1591204634.260905,85521,16.5
1591204729.240701,85841,16.0
1591204861.475582,86321,16.5
1591204988.154334,86721,16.0
1591205218.535383,87521,16.5
1591205354.454453,88001,16.5
1591205444.074827,88321,16.0
1591205467.001129,88401,16.0
1591205716.885717,89201,16.0
1591205834.015254,89601,16.5
1591206760.765412,92561,16.5
1591206858.471326,92881,16.0
1591206883.890521,92961,16.5
1591206906.82304,93041,16.0
1591207327.755449,94481,16.0
1591207619.270588,95441,16.5
1591207641.770283,95521,16.0
1591207780.309482,96001,16.0
1591207947.606397,96561,16.0
1591208575.892078,98641,16.0
1591208618.934376,98801,16.5
1591208842.618979,99601,16.5
1591209172.737273,100481,16.0
1591209246.552479,100721,16.0
1591209319.733594,100961,16.0
1591209790.080227,102561,16.5
1591209923.795102,103041,16.5
1591210096.303849,103601,16.0
1591210256.29795,104081,16.0
1591210505.521514,104881,16.0
1591210655.328774,105361,16.0
1591210723.285211,105601,16.0
1591210985.321382,106481,16.5
1591211060.054935,106721,16.5
1591211124.142059,106961,16.0
1591211146.809945,107041,16.5
1591212396.496189,110881,16.5
1591212470.493236,111121,16.0
1591212541.684805,111361,16.0
1591212564.636296,111441,16.5
1591213087.921308,113201,16.5
1591213384.827862,114161,16.5
1591213449.119349,114321,16.0
1591213540.632302,114641,16.5
1591213636.50453,114961,16.5
1591213735.148221,115281,16.5
1591214333.118108,117281,16.5
1591214356.43551,117361,16.0
1591214613.705801,118241,16.5
1591214805.35024,118881,16.5
1591214903.545774,119201,16.5
1591214951.74321,119361,16.0
1591215402.84299,120721,16.0
1591215752.833191,121921,16.0
1591215843.086616,122241,16.0
1591216428.743755,124241,16.0
1591216817.810516,125521,16.0
1591216840.617887,125601,16.0
1591217208.167141,126801,16.0
1591217302.685988,127121,16.0
1591217517.091728,127841,16.5
1591217688.207061,128401,16.0
1591217711.626401,128481,16.0
1591218018.472776,129521,16.0
1591218288.124671,130241,16.5
1591218408.586557,130641,16.0
1591218526.014999,131041,16.0
1591218598.880029,131281,16.5
1591218713.303755,131681,16.0
1591218787.18677,131921,16.5
1591219074.013927,132881,16.0
1591219266.835386,133521,16.5
1591219467.609307,134081,16.0
1591219653.654058,134641,16.5
1591219866.99495,135361,16.0
1591219964.523128,135681,16.0
1591219987.083094,135761,16.0
1591220012.899325,135841,16.0
1591220057.237684,136001,16.0
1591220127.205459,136241,16.0
1591220297.782252,136801,16.0
1591220529.937741,137521,16.0
1591220848.051447,138321,16.0
1591220976.609739,138641,16.0
1591221042.616595,138801,16.0
1591221135.046434,139041,16.0
1591221273.910186,139441,16.5
1591221381.215044,139681,16.5
1591221406.771372,139761,16.0
1591221435.072084,139841,16.0
1591222160.153873,141361,16.0
1591222413.40482,142081,16.5
1591222602.653905,142561,16.0
1591222886.704729,143121,16.0
1591222949.882405,143201,16.0
1591223264.040424,143921,16.0
1591223475.977397,144481,16.0
1591223768.988966,145441,16.0
1591224113.335607,146161,16.0
1591224242.286329,146481,16.0
1591224540.333717,147281,16.0
1591224642.07541,147601,16.0
1591224901.90674,148321,16.5
1591225503.644067,149361,16.5
1591225651.286659,149601,16.0
1591225863.387411,150081,16.0
1591225908.40626,150241,16.5
1591226784.196413,152961,16.0
1591226928.83115,153441,16.0
1591227340.757284,154801,16.0
1591227391.432645,154961,16.5
1591227430.900093,155121,16.0
1591227572.614758,155601,16.0
1591227648.242149,155841,16.0
1591227690.783933,156001,16.0
1591228120.116023,157441,16.0
1591228402.977643,158561,16.0
1591228441.507919,158721,16.0
1591228951.488542,160161,16.5
1591229051.033146,160481,16.5
1591229238.875926,161121,16.0
1591229618.76177,162481,16.5
1591229742.754584,162961,16.0
1591230350.682416,164881,16.5
1591230673.080157,165841,16.0
1591230693.063249,165921,16.5
1591230764.976489,166161,16.0
1591230789.075217,166241,16.0
1591230847.928142,166401,16.0
1591230903.5454,166561,16.0
1591231004.119995,166881,16.0
1591231134.772096,167201,16.5
1591231260.969071,167601,16.0
1591231325.253603,167761,16.0
1591231723.012567,168961,16.0
1591232687.263801,171681,16.0
1591232793.049693,172001,16.0
1591232858.315819,172161,16.0
1591232965.611354,172561,16.0
1591233203.742551,173281,16.5
1591233514.941133,173921,16.5
1591233625.175615,174241,16.5
1591233905.002395,175041,16.0
1591233949.123576,175201,16.0
1591233992.49794,175361,16.5
1591234013.103124,175441,16.5
1591234094.716194,175761,16.0
1591234162.950427,176001,16.5
1591234324.764934,176641,16.0
1591234403.78596,176961,16.0
1591234763.611272,178081,16.5
1591234914.724914,178561,16.0
1591235057.822697,178961,16.5
1591235090.020325,179041,16.5
1591235138.530022,179201,16.5
1591235201.128285,179441,16.0
1591235242.420436,179601,16.0
1591235280.71366,179761,16.5
1591235301.517781,179841,16.0
1591235509.263975,180401,16.0
1591235566.569155,180641,16.5
1591235715.660055,181041,16.5
1591236204.28453,182561,16.5
1591236445.593608,183361,16.0
1591236576.086333,183841,16.5
1591236749.987456,184321,16.5
1591236868.593317,184641,16.0
1591236915.412907,184721,16.0
1591237224.680025,185601,16.5
1591237246.930954,185681,16.0
1591237641.559604,186881,16.0
1591237836.415073,187681,16.0
1591238117.615487,188401,16.0
1591238499.183528,189761,16.0
1591239036.080406,191201,16.0
1591239065.134827,191281,16.0
1591239113.135172,191441,16.5
1591239428.542336,192241,16.5
1591239517.865644,192561,16.0
1591239971.540133,194081,16.0
1591240229.347623,194961,16.0
1591240408.622025,195601,16.5
