Wall time,Step,Value
1591166354.344366,81,16.0
1591166373.558573,161,16.5
1591166392.193307,241,16.5
1591166410.932814,321,16.5
1591166430.45575,401,13.5
1591166448.795128,481,8.5
1591166468.170408,561,10.0
1591166486.822483,641,9.5
1591166505.354085,721,9.0
1591166524.659915,801,8.0
1591166542.999001,881,9.0
1591166561.372025,961,11.0
1591166580.090831,1041,7.0
1591166598.871726,1121,7.5
1591166617.800805,1201,9.5
1591166636.208978,1281,13.5
1591166654.73598,1361,9.0
1591166673.260347,1441,8.0
1591166692.423422,1521,9.5
1591166712.902183,1601,16.5
1591166731.401055,1681,8.0
1591166750.039127,1761,8.0
1591166768.299462,1841,12.0
1591166788.403224,1921,8.0
1591166806.740473,2001,8.0
1591166826.219636,2081,8.0
1591166845.577147,2161,8.0
1591166864.222598,2241,8.5
1591166883.371595,2321,10.0
1591166901.896869,2401,8.0
1591166920.253428,2481,9.0
1591166938.669445,2561,11.0
1591166959.219097,2641,12.5
1591166978.331617,2721,15.5
1591166997.00527,2801,8.0
1591167015.574595,2881,14.0
1591167034.076784,2961,15.5
1591167053.670321,3041,8.0
1591167073.454625,3121,10.0
1591167092.144688,3201,10.5
1591167110.762251,3281,9.5
1591167129.220723,3361,12.5
1591167148.841965,3441,10.0
1591167167.592409,3521,11.0
1591167186.341162,3601,15.0
1591167205.77484,3681,9.5
1591167224.35412,3761,10.0
1591167245.005937,3841,14.0
1591167263.537983,3921,10.0
1591167282.127293,4001,9.5
1591167301.066501,4081,10.0
1591167320.827096,4161,15.5
1591167340.329212,4241,10.0
1591167358.975298,4321,10.0
1591167377.45183,4401,11.0
1591167396.075896,4481,13.5
1591167414.893836,4561,12.0
1591167433.683763,4641,10.5
1591167452.424232,4721,10.0
1591167471.068864,4801,10.0
1591167489.645931,4881,11.0
1591167508.829107,4961,10.0
1591167527.68748,5041,10.5
1591167546.254224,5121,9.0
1591167564.987797,5201,13.5
1591167583.849888,5281,9.0
1591167602.45845,5361,9.5
1591167621.168957,5441,9.0
1591167640.042799,5521,10.0
1591167658.482199,5601,10.0
1591167677.752162,5681,11.0
1591167697.082307,5761,15.0
1591167715.809349,5841,11.5
1591167734.163354,5921,10.0
1591167752.868654,6001,10.5
1591167771.763125,6081,10.0
1591167790.518818,6161,10.0
1591167810.168945,6241,10.5
1591167829.344751,6321,9.0
1591167848.052248,6401,10.0
1591167867.528722,6481,10.0
1591167885.938827,6561,9.0
1591167904.543607,6641,10.5
1591167923.087392,6721,10.0
1591167942.749995,6801,11.5
1591167961.419814,6881,11.0
1591167980.22787,6961,10.0
1591167998.649821,7041,9.5
1591168017.273912,7121,10.0
1591168036.525371,7201,9.0
1591168055.360974,7281,10.5
1591168074.055933,7361,9.0
1591168092.639042,7441,13.5
1591168111.402982,7521,10.0
1591168131.194746,7601,9.0
1591168149.760752,7681,15.0
1591168168.419133,7761,10.0
1591168187.282933,7841,9.5
1591168206.540129,7921,9.5
1591168225.626731,8001,10.0
1591168244.503039,8081,9.5
1591168263.063827,8161,10.0
1591168281.55933,8241,10.5
1591168301.408114,8321,10.5
1591168319.858754,8401,9.0
1591168338.995385,8481,10.5
1591168357.705378,8561,10.0
1591168376.335985,8641,9.0
1591168395.577408,8721,10.0
1591168414.299932,8801,10.0
1591168433.591248,8881,10.0
1591168452.942166,8961,10.5
1591168471.187022,9041,10.5
1591168490.366989,9121,10.5
1591168508.949242,9201,11.5
1591168527.655401,9281,10.0
1591168546.57329,9361,10.0
1591168565.722547,9441,10.5
1591168584.068653,9521,10.0
1591168602.641873,9601,9.0
1591168621.323588,9681,10.0
1591168639.708696,9761,10.5
1591168659.095351,9841,10.0
1591168678.069571,9921,10.0
1591168742.784131,10001,10.0
1591168764.810711,10081,11.0
1591168784.148459,10161,13.5
1591168803.896333,10241,10.0
1591168822.730387,10321,10.0
1591168842.060374,10401,12.0
1591168860.996727,10481,11.5
1591168880.381489,10561,10.0
1591168900.066267,10641,14.0
1591168919.091892,10721,10.5
1591168938.58418,10801,10.5
1591168957.893638,10881,12.0
1591168977.703062,10961,10.5
1591168996.922798,11041,9.5
1591169015.8084,11121,9.0
1591169034.833431,11201,10.5
1591169054.060503,11281,10.5
1591169073.357928,11361,13.5
1591169092.509513,11441,10.5
1591169111.585643,11521,10.0
1591169130.774758,11601,10.0
1591169149.772824,11681,10.0
1591169169.607822,11761,10.5
1591169188.699371,11841,10.0
1591169207.672474,11921,10.0
1591169226.77998,12001,10.0
1591169246.772884,12081,10.0
1591169266.155368,12161,9.5
1591169285.09744,12241,10.5
1591169304.035828,12321,10.0
1591169322.960691,12401,11.5
1591169345.553857,12481,11.0
1591169364.517535,12561,10.0
1591169383.806311,12641,10.5
1591169402.785123,12721,11.0
1591169421.67551,12801,10.0
1591169441.278893,12881,10.0
1591169460.217032,12961,10.5
1591169479.34466,13041,10.0
1591169498.591776,13121,10.0
1591169517.70517,13201,10.5
1591169537.315237,13281,10.0
1591169556.258758,13361,10.0
1591169575.31432,13441,10.0
1591169594.351676,13521,10.0
1591169613.967836,13601,10.0
1591169633.060619,13681,10.0
1591169651.868107,13761,10.0
1591169671.145073,13841,10.0
1591169689.956796,13921,10.5
1591169709.704432,14001,10.0
1591169730.652703,14081,10.0
1591169749.959969,14161,10.0
1591169769.041552,14241,10.5
1591169787.843128,14321,10.0
1591169808.277243,14401,10.0
1591169827.07544,14481,10.0
1591169846.075827,14561,10.0
1591169864.888784,14641,10.5
1591169884.365981,14721,10.0
1591169904.031675,14801,11.0
1591169922.8398,14881,10.0
1591169941.770959,14961,11.5
1591169960.554499,15041,10.0
1591169980.054823,15121,10.0
1591169998.992971,15201,10.0
1591170017.72845,15281,10.5
1591170036.374052,15361,10.0
1591170055.139196,15441,10.0
1591170074.585718,15521,10.5
1591170093.657322,15601,10.0
1591170112.250662,15681,10.5
1591170131.608972,15761,10.0
1591170151.5499,15841,10.0
1591170170.485021,15921,10.0
1591170189.319643,16001,10.5
1591170207.981485,16081,10.5
1591170226.65991,16161,11.5
1591170245.939671,16241,11.0
1591170264.660345,16321,10.0
1591170283.624431,16401,10.0
1591170302.212088,16481,11.0
1591170321.102441,16561,10.0
1591170340.007144,16641,10.0
1591170358.887195,16721,11.0
1591170377.495852,16801,11.0
1591170396.527859,16881,10.5
1591170417.253956,16961,10.0
1591170435.89364,17041,10.0
1591170454.884203,17121,10.5
1591170473.579989,17201,10.0
1591170492.139153,17281,11.0
1591170511.561807,17361,10.5
1591170531.95728,17441,10.0
1591170550.669378,17521,13.0
1591170569.302684,17601,11.0
1591170588.75844,17681,10.0
1591170607.621754,17761,10.0
1591170626.240235,17841,10.0
1591170646.216006,17921,11.0
1591170664.86975,18001,10.0
1591170683.720162,18081,10.0
1591170702.313556,18161,10.0
1591170721.151358,18241,11.0
1591170739.855224,18321,10.5
1591170758.625691,18401,10.0
1591170777.790497,18481,10.0
1591170796.584283,18561,10.5
1591170815.769311,18641,10.5
1591170834.602716,18721,10.0
1591170853.110952,18801,10.0
1591170872.543506,18881,10.5
1591170891.398376,18961,10.0
1591170910.156164,19041,10.0
1591170928.699233,19121,10.0
1591170947.771114,19201,9.0
1591170966.669757,19281,10.5
1591170985.489758,19361,11.0
1591171004.275275,19441,13.0
1591171023.002495,19521,10.0
1591171041.894031,19601,10.0
1591171060.690756,19681,11.0
1591171079.70299,19761,10.5
1591171098.467185,19841,10.5
1591171116.991776,19921,10.5
1591171182.180641,20001,10.5
1591171202.2549,20081,10.5
1591171220.893686,20161,10.5
1591171239.344117,20241,10.0
1591171257.850159,20321,11.5
1591171277.180061,20401,10.0
1591171296.028404,20481,11.0
1591171315.162936,20561,10.5
1591171333.804405,20641,10.0
1591171353.221816,20721,11.0
1591171371.892679,20801,10.0
1591171390.559358,20881,10.5
1591171409.210767,20961,10.0
1591171428.019981,21041,10.0
1591171446.993132,21121,10.0
1591171465.459461,21201,10.5
1591171484.174992,21281,10.5
1591171502.78542,21361,10.0
1591171521.527728,21441,10.5
1591171540.831817,21521,10.5
1591171559.992247,21601,10.0
1591171578.65216,21681,11.0
1591171597.166381,21761,11.0
1591171616.295085,21841,10.0
1591171635.034299,21921,12.0
1591171653.755626,22001,13.0
1591171673.245165,22081,13.0
1591171692.151454,22161,11.5
1591171711.198214,22241,10.0
1591171729.728308,22321,10.0
1591171750.922064,22401,10.0
1591171769.49096,22481,10.5
1591171788.251248,22561,13.0
1591171809.9727,22641,10.5
1591171828.505142,22721,10.0
1591171847.400647,22801,10.0
1591171865.959746,22881,10.5
1591171884.446011,22961,10.0
1591171903.723983,23041,10.5
1591171922.55475,23121,11.5
1591171941.439276,23201,10.0
