Wall time,Step,Value
1591166351.163633,81,16.0
1591166369.682487,161,16.0
1591166387.870014,241,16.5
1591166406.382292,321,16.5
1591166425.460653,401,16.0
1591166444.086552,481,16.0
1591166463.473397,561,16.0
1591166481.847029,641,16.5
1591166500.274821,721,16.5
1591166519.38646,801,16.5
1591166537.589562,881,16.5
1591166555.840379,961,16.0
1591166574.465754,1041,16.0
1591166593.259728,1121,16.5
1591166612.313438,1201,16.5
1591166630.565256,1281,16.5
1591166649.047921,1361,16.5
1591166667.601387,1441,16.5
1591166686.686689,1521,16.5
1591166705.813838,1601,16.5
1591166724.041152,1681,16.5
1591166742.448781,1761,16.5
1591166761.000124,1841,16.5
1591166780.142325,1921,16.0
1591166798.478028,2001,16.5
1591166820.745046,2081,16.5
1591166839.753654,2161,16.5
1591166858.073017,2241,16.5
1591166877.088026,2321,16.0
1591166895.471522,2401,16.0
1591166913.633217,2481,16.5
1591166932.092785,2561,16.0
1591166951.266655,2641,16.0
1591166969.629327,2721,16.5
1591166987.994175,2801,16.5
1591167006.088596,2881,16.0
1591167024.486734,2961,16.5
1591167043.200522,3041,16.0
1591167063.077349,3121,16.5
1591167082.374653,3201,16.0
1591167100.647843,3281,16.0
1591167119.141119,3361,16.5
1591167137.962021,3441,16.5
1591167156.378454,3521,16.5
1591167174.48913,3601,16.0
1591167193.412071,3681,16.5
1591167212.089144,3761,16.5
1591167230.896872,3841,16.5
1591167249.29119,3921,16.5
1591167267.544972,4001,16.5
1591167285.837158,4081,16.5
1591167306.706306,4161,16.5
1591167325.587085,4241,16.5
1591167344.118187,4321,16.5
1591167362.341147,4401,16.5
1591167380.566604,4481,16.5
1591167399.189316,4561,16.5
1591167418.110834,4641,16.5
1591167436.987271,4721,16.5
1591167455.499663,4801,16.5
1591167473.639504,4881,16.5
1591167492.645717,4961,16.0
1591167511.232228,5041,16.0
1591167529.180193,5121,16.5
1591167547.633368,5201,16.0
1591167565.976376,5281,16.0
1591167585.555891,5361,16.0
1591167603.815684,5441,16.0
1591167622.157844,5521,16.5
1591167640.900397,5601,16.5
1591167659.695847,5681,16.0
1591167678.393315,5761,16.0
1591167696.862659,5841,16.0
1591167715.067903,5921,16.5
1591167733.056492,6001,16.0
1591167751.756537,6081,16.0
1591167770.316463,6161,16.5
1591167789.416907,6241,16.5
1591167807.531516,6321,16.0
1591167826.951979,6401,16.5
1591167845.344525,6481,16.5
1591167863.606691,6561,16.0
1591167881.788603,6641,16.5
1591167899.756521,6721,16.0
1591167918.999412,6801,16.0
1591167937.379869,6881,16.0
1591167956.031152,6961,16.5
1591167973.915691,7041,16.5
1591167991.883593,7121,16.0
1591168010.604745,7201,16.0
1591168029.404469,7281,16.0
1591168047.832868,7361,16.5
1591168066.151651,7441,16.5
1591168084.168627,7521,16.5
1591168103.084825,7601,16.5
1591168121.100149,7681,16.5
1591168139.536868,7761,16.0
1591168157.834535,7841,16.5
1591168176.490488,7921,16.5
1591168194.820632,8001,16.0
1591168212.784919,8081,16.0
1591168231.054484,8161,16.5
1591168248.855438,8241,16.0
1591168267.57108,8321,16.5
1591168285.854702,8401,16.5
1591168303.976981,8481,16.0
1591168321.841564,8561,16.5
1591168339.839576,8641,16.0
1591168358.484752,8721,16.0
1591168376.761619,8801,16.0
1591168395.245087,8881,16.5
1591168413.699192,8961,16.5
1591168431.738598,9041,16.5
1591168450.640691,9121,16.0
1591168468.414023,9201,16.5
1591168486.904983,9281,16.5
1591168504.987319,9361,16.0
1591168523.586958,9441,16.0
1591168541.713656,9521,16.5
1591168559.882955,9601,16.0
1591168577.792639,9681,16.5
1591168595.526556,9761,16.5
1591168614.235609,9841,16.5
1591168632.720277,9921,16.0
1591168694.156349,10001,16.5
1591168713.58909,10081,16.0
1591168732.148657,10161,16.5
1591168750.921824,10241,16.5
1591168769.426151,10321,16.5
1591168788.23523,10401,16.0
1591168806.968608,10481,16.5
1591168825.930068,10561,16.5
1591168844.881392,10641,16.0
1591168863.210642,10721,16.5
1591168881.856063,10801,16.5
1591168900.583422,10881,16.0
1591168919.746337,10961,16.0
1591168938.996005,11041,16.5
1591168957.79648,11121,16.5
1591168976.152567,11201,16.5
1591168994.58468,11281,16.0
1591169013.575073,11361,16.5
1591169032.640406,11441,16.0
1591169051.191939,11521,16.5
1591169070.153815,11601,16.0
1591169088.702161,11681,16.5
1591169107.576652,11761,16.5
1591169126.233916,11841,16.5
1591169146.360268,11921,16.0
1591169164.942691,12001,16.5
1591169183.942149,12081,16.0
1591169202.828086,12161,16.5
1591169221.302149,12241,16.5
1591169240.425768,12321,16.5
1591169258.85441,12401,16.5
1591169277.955213,12481,16.5
1591169296.692012,12561,16.0
1591169315.318456,12641,16.5
1591169334.314355,12721,16.5
1591169353.001226,12801,16.5
1591169372.259185,12881,16.5
1591169391.863407,12961,16.5
1591169410.502036,13041,16.5
1591169429.341053,13121,16.5
1591169448.358703,13201,16.0
1591169467.34064,13281,16.5
1591169485.933187,13361,16.5
1591169504.491807,13441,16.5
1591169523.831769,13521,16.5
1591169542.891098,13601,16.0
1591169561.539159,13681,16.0
1591169580.42167,13761,16.5
1591169599.214404,13841,16.5
1591169617.721621,13921,16.0
1591169636.415629,14001,16.5
1591169655.704645,14081,16.0
1591169674.528656,14161,16.0
1591169693.774587,14241,16.5
1591169712.35022,14321,16.5
1591169731.504738,14401,16.5
1591169750.033503,14481,16.5
1591169769.031098,14561,16.5
1591169788.224983,14641,16.5
1591169807.205203,14721,16.0
1591169826.432479,14801,16.5
1591169844.958291,14881,16.5
1591169863.424673,14961,16.0
1591169882.441037,15041,16.0
1591169901.448432,15121,16.5
1591169919.819336,15201,16.5
1591169938.35893,15281,16.0
1591169957.242738,15361,16.5
1591169975.713431,15441,16.0
1591169994.56639,15521,16.5
1591170013.65708,15601,16.5
1591170032.302752,15681,16.0
1591170051.447208,15761,16.0
1591170070.289575,15841,16.0
1591170090.095531,15921,16.5
1591170108.630655,16001,16.0
1591170128.171505,16081,16.0
1591170146.533191,16161,16.5
1591170165.154006,16241,16.0
1591170183.811729,16321,16.5
1591170202.611285,16401,16.0
1591170221.114592,16481,16.0
1591170239.935326,16561,16.0
1591170258.895486,16641,16.5
1591170277.927547,16721,16.5
1591170296.401577,16801,16.0
1591170316.36893,16881,16.0
1591170335.411015,16961,16.0
1591170353.995666,17041,16.5
1591170373.177067,17121,16.5
1591170392.168569,17201,16.0
1591170410.81917,17281,16.0
1591170429.607916,17361,16.0
1591170448.419181,17441,16.0
1591170467.146178,17521,16.5
