Wall time,Step,Value
1591166351.157227,81,-126.53568267822266
1591166369.675592,161,-107.8250961303711
1591166387.863784,241,-101.46154022216797
1591166406.375964,321,-100.30062866210938
1591166425.454407,401,-99.29666137695312
1591166444.08028,481,-98.26915740966797
1591166463.467187,561,-97.98914337158203
1591166481.840775,641,-97.89220428466797
1591166500.267961,721,-97.8309097290039
1591166519.379572,801,-97.34928894042969
1591166537.582666,881,-97.3116683959961
1591166555.834139,961,-97.19109344482422
1591166574.458877,1041,-97.23199462890625
1591166593.25349,1121,-97.17559814453125
1591166612.307225,1201,-96.68515014648438
1591166630.559033,1281,-96.67280578613281
1591166649.041047,1361,-96.5680923461914
1591166667.595126,1441,-96.46503448486328
1591166686.679809,1521,-96.61984252929688
1591166705.807554,1601,-96.4967269897461
1591166724.034933,1681,-96.4786605834961
1591166742.442523,1761,-96.29412078857422
1591166760.993855,1841,-95.9156723022461
1591166780.136053,1921,-96.02889251708984
1591166798.471189,2001,-95.85012817382812
1591166820.738901,2081,-95.59660339355469
1591166839.747449,2161,-95.39022827148438
1591166858.066162,2241,-95.42469024658203
1591166877.081826,2321,-95.19416046142578
1591166895.465346,2401,-95.17456817626953
1591166913.62639,2481,-95.13077545166016
1591166932.086556,2561,-95.3609848022461
1591166951.260455,2641,-95.18570709228516
1591166969.623059,2721,-95.08685302734375
1591166987.987347,2801,-95.11907196044922
1591167006.082392,2881,-95.18875885009766
1591167024.480486,2961,-94.75894927978516
1591167043.193643,3041,-94.73787689208984
1591167063.071128,3121,-94.7590560913086
1591167082.36841,3201,-95.0174560546875
1591167100.640947,3281,-94.87410736083984
1591167119.134858,3361,-94.85311126708984
1591167137.955774,3441,-94.4183578491211
1591167156.372219,3521,-94.79942321777344
1591167174.482906,3601,-94.7857894897461
1591167193.405744,3681,-94.67048645019531
1591167212.082908,3761,-94.32140350341797
1591167230.890662,3841,-94.47230529785156
1591167249.285029,3921,-94.74543762207031
1591167267.538789,4001,-94.49604797363281
1591167285.830952,4081,-94.62833404541016
1591167306.700103,4161,-94.25043487548828
1591167325.580904,4241,-94.40133666992188
1591167344.112036,4321,-94.25672149658203
1591167362.334364,4401,-94.04583740234375
1591167380.559773,4481,-94.28504180908203
1591167399.180983,4561,-93.8376693725586
1591167418.104665,4641,-94.2428207397461
1591167436.980518,4721,-93.95973205566406
1591167455.492899,4801,-94.3710708618164
1591167473.632765,4881,-93.80447387695312
1591167492.639655,4961,-93.93780517578125
1591167511.226034,5041,-94.20752716064453
1591167529.174019,5121,-94.60144805908203
1591167547.627302,5201,-93.9648666381836
1591167565.970256,5281,-93.94242095947266
1591167585.549184,5361,-94.055908203125
1591167603.808992,5441,-93.93745422363281
1591167622.1511,5521,-94.02719116210938
1591167640.894233,5601,-94.03826141357422
1591167659.689743,5681,-94.12120819091797
1591167678.386588,5761,-93.88136291503906
1591167696.85589,5841,-94.09487915039062
1591167715.061788,5921,-93.88614654541016
1591167733.050327,6001,-93.97792053222656
1591167751.749838,6081,-94.1025161743164
1591167770.309736,6161,-94.22798156738281
1591167789.410207,6241,-93.73326873779297
1591167807.52476,6321,-93.75865936279297
1591167826.945241,6401,-94.06027221679688
1591167845.337796,6481,-93.86518096923828
1591167863.600573,6561,-93.7806625366211
1591167881.782438,6641,-94.053955078125
1591167899.749795,6721,-93.94676208496094
1591167918.993317,6801,-93.86552429199219
1591167937.373171,6881,-94.11489868164062
1591167956.025099,6961,-93.6758804321289
1591167973.909585,7041,-93.71117401123047
1591167991.877493,7121,-93.79991912841797
1591168010.59861,7201,-93.84798431396484
