Wall time,Step,Value
1591180330.309793,481,-1.5218218564987183
1591180581.673571,1521,-4.505507469177246
1591180702.503325,2001,-5.232756614685059
1591181024.81683,3281,-6.648214340209961
1591181062.978656,3441,-6.939385890960693
1591181119.992767,3681,-6.882675647735596
1591181280.856801,4321,-6.901476860046387
1591181338.815435,4561,-7.0535078048706055
1591181639.053408,5761,-7.210844993591309
1591181699.31161,6001,-7.371912479400635
1591182097.862242,7601,-7.428297519683838
1591182263.8189,8241,-7.518224239349365
1591182341.734075,8561,-7.66510009765625
1591182788.797213,10161,-7.464229583740234
1591183065.728296,11201,-7.463324069976807
1591183401.879403,12481,-7.488161563873291
1591183463.869828,12721,-7.651722431182861
1591183650.104917,13441,-7.598580360412598
1591183872.621312,14321,-7.3963446617126465
1591183972.766537,14721,-7.7676615715026855
1591184009.860609,14881,-7.475968360900879
1591184028.272996,14961,-7.680736064910889
1591184115.391831,15281,-7.64915132522583
1591184460.054533,16641,-5.921087265014648
1591184778.815805,17921,-5.971426963806152
1591184904.658918,18401,-6.2534003257751465
1591185003.384241,18801,-6.076960563659668
1591185354.081212,20001,-6.132919788360596
1591185484.1083,20481,-5.92851448059082
1591185587.574429,20881,-6.207201957702637
1591185754.723341,21441,-6.138101100921631
1591185837.266051,21761,-6.171460151672363
1591185884.266732,21921,-6.156396865844727
1591186283.451255,23441,-6.705690860748291
1591186659.870221,24721,-7.6619672775268555
1591186698.297443,24881,-8.134675025939941
1591186881.245866,25521,-8.493409156799316
1591187136.445024,26481,-8.456276893615723
1591187325.608209,27201,-8.812288284301758
1591187492.344832,27841,-8.685843467712402
1591187848.386617,29121,-9.14296817779541
1591187933.080228,29441,-7.60590124130249
1591189112.748881,33761,-10.526930809020996
1591189133.220084,33841,-10.684812545776367
1591189526.911739,35201,-11.233101844787598
1591189593.432242,35441,-11.65510368347168
1591189653.839011,35681,-11.433148384094238
1591189976.718347,36881,-12.080731391906738
1591190039.400052,37121,-12.019135475158691
1591190061.176079,37201,-11.987458229064941
1591190281.014989,38001,-12.36556625366211
1591190632.291956,39361,-12.851715087890625
1591190670.140819,39521,-12.931905746459961
1591191163.140404,41201,-13.324395179748535
1591191222.725268,41441,-13.625712394714355
1591191519.964324,42561,-14.159055709838867
1591191628.064479,42961,-14.341874122619629
1591192071.823319,44641,-15.072868347167969
1591192207.671517,45121,-15.768088340759277
1591192433.719547,45921,-15.718536376953125
1591192569.526978,46401,-15.778130531311035
1591192617.388581,46561,-15.967738151550293
1591192726.471126,46961,-15.971407890319824
1591192746.350622,47041,-16.027637481689453
1591193095.157051,48241,-16.248109817504883
1591193496.116139,49681,-16.810651779174805
1591193542.430949,49841,-16.65477752685547
1591193871.946808,50801,-17.130870819091797
1591194025.117348,51361,-17.181930541992188
1591194049.773678,51441,-17.200891494750977
1591194096.427264,51601,-17.555278778076172
1591194165.619846,51841,-17.36210060119629
1591194209.188484,52001,-17.54888153076172
1591194486.665528,52961,-17.482011795043945
1591194721.331829,53761,-18.155351638793945
1591194998.141768,54721,-18.39912223815918
1591195118.860281,55121,-17.96088218688965
1591195738.573261,57201,-18.705595016479492
1591195827.879664,57521,-19.175045013427734
1591195920.398159,57841,-19.38618278503418
1591195943.5251,57921,-19.26583480834961
1591196097.785223,58481,-19.27737808227539
1591196320.022281,59201,-19.080219268798828
1591196417.50971,59521,-19.58956527709961
1591196509.292769,59841,-19.184555053710938
1591196671.486548,60241,-19.354747772216797
1591196763.821574,60561,-19.866708755493164
1591197185.744579,61281,-19.714872360229492
1591197283.607559,61601,-19.950485229492188
1591197329.710778,61761,-20.036924362182617
1591197377.984745,61921,-19.585853576660156
1591197543.180409,62481,-20.066850662231445
1591197665.296525,62881,-20.009353637695312
1591197713.249899,63041,-19.907602310180664
1591197839.131952,63441,-20.214797973632812
1591197889.472142,63601,-20.30202293395996
1591197994.207233,63921,-20.151235580444336
1591198093.375283,64241,-20.589982986450195
1591198299.989619,64721,-20.323579788208008
1591198329.302101,64801,-20.33056640625
1591198935.203114,66641,-20.89324378967285
1591199034.542932,66961,-21.27923011779785
1591199777.688189,69601,-21.74616050720215
1591199940.287531,70001,-21.548791885375977
1591199992.706604,70161,-21.51520538330078
1591200140.987174,70641,-21.72429656982422
1591200458.037761,71761,-21.987363815307617
1591200555.732069,72081,-22.017606735229492
1591200725.123096,72641,-21.84680938720703
1591200775.464871,72801,-22.87527084350586
1591200932.156706,73281,-22.4719181060791
1591200975.870857,73441,-22.806137084960938
1591201311.146526,74561,-22.863426208496094
1591201335.96027,74641,-22.76957130432129
1591201567.048239,75441,-23.115753173828125
1591201635.620738,75681,-22.738615036010742
1591201857.68544,76401,-23.039487838745117
1591201952.659332,76721,-22.85001564025879
1591202041.853067,77041,-23.4459171295166
1591202250.651372,77761,-26.8808536529541
1591202273.939757,77841,-27.889657974243164
1591202413.569815,78321,-30.184202194213867
1591202433.916322,78401,-30.852115631103516
1591202557.094823,78801,-23.34290885925293
1591202835.305195,79761,-23.560094833374023
1591203020.976507,80241,-23.86488914489746
1591203086.940196,80481,-23.711894989013672
1591203296.215846,81201,-23.70051383972168
1591203566.241569,82081,-24.05175018310547
1591203996.977763,83601,-24.707754135131836
1591204352.365858,84641,-24.233501434326172
1591204504.96539,85121,-24.500911712646484
1591204574.959472,85361,-24.539155960083008
1591204634.257361,85521,-24.781728744506836
1591204729.237142,85841,-24.932071685791016
1591204861.472021,86321,-24.99858283996582
1591204988.15076,86721,-24.41701316833496
1591205218.531808,87521,-24.242942810058594
1591205354.450879,88001,-25.24696159362793
1591205444.0713,88321,-25.192081451416016
1591205466.997248,88401,-25.233304977416992
1591205716.882175,89201,-25.31525421142578
1591205834.01171,89601,-25.36834144592285
1591206760.761871,92561,-23.258319854736328
1591206858.467427,92881,-24.166574478149414
1591206883.886612,92961,-23.791418075561523
1591206906.819489,93041,-23.446659088134766
1591207327.751893,94481,-23.312170028686523
1591207619.267048,95441,-23.608173370361328
1591207641.766763,95521,-24.07691764831543
1591207780.30596,96001,-23.94819450378418
