Wall time,Step,Value
1591166354.290841,81,31.335153579711914
1591166373.554557,161,6.66886568069458
1591166392.189693,241,-1.5317955017089844
1591166410.929187,321,-4.913806438446045
1591166430.452129,401,-5.671447277069092
1591166448.791506,481,-6.47145414352417
1591166468.166787,561,-7.006709098815918
1591166486.818845,641,-7.536325931549072
1591166505.350452,721,-7.9337158203125
1591166524.656287,801,-7.814937591552734
1591166542.995356,881,-8.67138671875
1591166561.368374,961,-9.276644706726074
1591166580.087173,1041,-9.575830459594727
1591166598.868099,1121,-9.728222846984863
1591166617.797153,1201,-10.211395263671875
1591166636.205332,1281,-10.885551452636719
1591166654.732327,1361,-11.013063430786133
1591166673.25669,1441,-10.78565502166748
1591166692.419805,1521,-10.819149017333984
1591166712.898194,1601,-11.338201522827148
1591166731.397437,1681,-12.554665565490723
1591166750.035463,1761,-12.607507705688477
1591166768.295833,1841,-12.611834526062012
1591166788.39922,1921,-13.086836814880371
1591166806.736872,2001,-13.440320014953613
1591166826.216017,2081,-13.229434967041016
1591166845.573283,2161,-13.589001655578613
1591166864.218612,2241,-13.772913932800293
1591166883.367974,2321,-13.838946342468262
1591166901.893251,2401,-13.965170860290527
1591166920.249792,2481,-14.059483528137207
1591166938.665437,2561,-14.194445610046387
1591166959.215433,2641,-14.335919380187988
1591166978.327962,2721,-14.71709156036377
1591166997.001277,2801,-14.679168701171875
1591167015.57095,2881,-14.92428970336914
1591167034.073156,2961,-14.818971633911133
1591167053.666677,3041,-15.275520324707031
1591167073.450999,3121,-15.601064682006836
1591167092.141038,3201,-15.604557037353516
1591167110.758624,3281,-15.750741958618164
1591167129.217077,3361,-16.073036193847656
1591167148.838345,3441,-15.959447860717773
1591167167.588758,3521,-16.075510025024414
1591167186.33751,3601,-16.202735900878906
1591167205.771188,3681,-16.76628303527832
1591167224.350493,3761,-16.643268585205078
1591167245.001943,3841,-17.08831024169922
1591167263.534335,3921,-17.241483688354492
1591167282.123641,4001,-17.422788619995117
1591167301.062855,4081,-17.315670013427734
1591167320.823455,4161,-16.123516082763672
1591167340.3252,4241,-17.511260986328125
1591167358.971308,4321,-17.493064880371094
1591167377.448209,4401,-17.744279861450195
1591167396.072277,4481,-17.12749481201172
1591167414.889854,4561,-18.17681121826172
1591167433.680126,4641,-17.901338577270508
1591167452.420596,4721,-17.79872703552246
1591167471.06487,4801,-17.85688018798828
1591167489.641935,4881,-18.127038955688477
1591167508.825087,4961,-18.132265090942383
1591167527.683847,5041,-18.39399528503418
1591167546.250233,5121,-18.53376007080078
1591167564.984156,5201,-18.470298767089844
1591167583.845884,5281,-17.875301361083984
1591167602.454443,5361,-18.25700569152832
1591167621.164871,5441,-18.530208587646484
1591167640.038791,5521,-18.050426483154297
1591167658.478572,5601,-18.69354248046875
1591167677.748546,5681,-18.72542953491211
1591167697.078309,5761,-18.261396408081055
1591167715.805699,5841,-18.799293518066406
1591167734.159358,5921,-18.66901397705078
1591167752.865003,6001,-19.12494468688965
1591167771.759517,6081,-18.66213035583496
1591167790.515151,6161,-18.867753982543945
1591167810.165278,6241,-18.730539321899414
1591167829.340755,6321,-19.06467056274414
1591167848.048593,6401,-19.130285263061523
1591167867.525074,6481,-18.68907928466797
1591167885.935186,6561,-18.61635398864746
1591167904.539976,6641,-19.399595260620117
1591167923.083752,6721,-15.089605331420898
1591167942.74636,6801,-17.043479919433594
1591167961.415831,6881,-17.028011322021484
1591167980.224228,6961,-15.311308860778809
1591167998.646198,7041,-17.212663650512695
1591168017.269941,7121,-17.984071731567383
1591168036.52138,7201,-18.374794006347656
1591168055.357315,7281,-18.042640686035156
1591168074.052278,7361,-18.462377548217773
1591168092.635408,7441,-17.998075485229492
1591168111.39936,7521,-18.4097900390625
1591168131.191113,7601,-18.577743530273438
1591168149.757145,7681,-18.980464935302734
1591168168.415505,7761,-18.461883544921875
1591168187.279297,7841,-18.454153060913086
1591168206.536162,7921,-18.010828018188477
1591168225.62272,8001,-19.037216186523438
1591168244.499064,8081,-19.114158630371094
1591168263.059827,8161,-18.955963134765625
1591168281.555337,8241,-18.93143081665039
1591168301.404104,8321,-19.101266860961914
1591168319.855094,8401,-19.379070281982422
1591168338.991316,8481,-18.863311767578125
1591168357.701754,8561,-19.199588775634766
1591168376.331999,8641,-19.441734313964844
1591168395.573755,8721,-16.54181480407715
1591168414.295934,8801,-17.266605377197266
1591168433.587614,8881,-17.041744232177734
1591168452.938553,8961,-16.33099365234375
1591168471.183299,9041,-17.816471099853516
1591168490.363348,9121,-17.638477325439453
1591168508.945634,9201,-17.527650833129883
1591168527.651398,9281,-17.18276596069336
1591168546.569656,9361,-18.37267303466797
1591168565.718551,9441,-16.20754051208496
1591168584.064668,9521,-17.72881317138672
1591168602.638259,9601,-18.518545150756836
1591168621.319945,9681,-18.11152458190918
1591168639.705052,9761,-18.349483489990234
1591168659.09174,9841,-17.98153305053711
1591168678.065924,9921,-18.61431884765625
1591168742.780517,10001,-17.980464935302734
1591168764.807087,10081,-18.69960594177246
1591168784.144789,10161,-17.98790740966797
1591168803.892343,10241,-18.33980941772461
1591168822.726744,10321,-18.403738021850586
1591168842.056725,10401,-18.57961082458496
1591168860.992716,10481,-17.930946350097656
1591168880.377848,10561,-18.667102813720703
1591168900.062617,10641,-18.565378189086914
1591168919.088238,10721,-17.94351577758789
1591168938.580529,10801,-18.890398025512695
1591168957.889988,10881,-18.837276458740234
1591168977.699458,10961,-18.572416305541992
1591168996.919172,11041,-17.310564041137695
1591169015.804769,11121,-18.788484573364258
1591169034.829806,11201,-18.829862594604492
1591169054.056519,11281,-18.156099319458008
1591169073.354271,11361,-19.173240661621094
1591169092.505907,11441,-18.887248992919922
1591169111.581958,11521,-18.98236846923828
1591169130.771125,11601,-18.872089385986328
1591169149.769197,11681,-18.167512893676758
1591169169.604173,11761,-19.156688690185547
1591169188.695739,11841,-19.04386329650879
1591169207.668864,11921,-18.862220764160156
1591169226.77634,12001,-19.235300064086914
1591169246.768891,12081,-18.331012725830078
1591169266.151765,12161,-19.057140350341797
1591169285.093803,12241,-19.355199813842773
1591169304.032195,12321,-17.81353759765625
1591169322.957033,12401,-19.16330909729004
1591169345.550231,12481,-18.835920333862305
1591169364.51389,12561,-19.311935424804688
1591169383.802309,12641,-19.17372703552246
1591169402.781131,12721,-19.555702209472656
1591169421.671511,12801,-16.733461380004883
1591169441.275242,12881,-19.515501022338867
1591169460.213032,12961,-19.510784149169922
1591169479.341033,13041,-19.625831604003906
1591169498.588139,13121,-19.773277282714844
1591169517.701513,13201,-19.313928604125977
1591169537.311604,13281,-19.284677505493164
1591169556.255131,13361,-19.799903869628906
1591169575.31071,13441,-19.61024284362793
1591169594.348049,13521,-20.158103942871094
1591169613.964221,13601,-20.002866744995117
1591169633.056639,13681,-20.200069427490234
1591169651.864492,13761,-20.448579788208008
1591169671.141463,13841,-20.048095703125
1591169689.952829,13921,-20.282596588134766
1591169709.700846,14001,-20.500869750976562
1591169730.648751,14081,-20.635631561279297
1591169749.956005,14161,-20.611623764038086
1591169769.03798,14241,-20.78818702697754
1591169787.839193,14321,-20.646703720092773
1591169808.273664,14401,-20.885408401489258
1591169827.071876,14481,-20.914453506469727
1591169846.072248,14561,-20.076536178588867
1591169864.88487,14641,-21.1011905670166
1591169884.362413,14721,-21.05164337158203
1591169904.027777,14801,-20.675878524780273
1591169922.836223,14881,-20.876602172851562
1591169941.767059,14961,-21.148300170898438
1591169960.550944,15041,-20.98400115966797
1591169980.051253,15121,-20.729305267333984
1591169998.989438,15201,-21.220108032226562
1591170017.724863,15281,-20.85968017578125
1591170036.370487,15361,-21.275915145874023
1591170055.135299,15441,-21.00464630126953
1591170074.582151,15521,-18.643827438354492
1591170093.653721,15601,-23.83013153076172
1591170112.24707,15681,-27.844655990600586
1591170131.605395,15761,-27.730697631835938
1591170151.546354,15841,-25.966768264770508
1591170170.481452,15921,-23.075191497802734
1591170189.316077,16001,-22.626760482788086
1591170207.977605,16081,-23.057716369628906
1591170226.656365,16161,-20.201610565185547
1591170245.936125,16241,-19.1715145111084
1591170264.656779,16321,-20.97710418701172
1591170283.620863,16401,-20.828533172607422
1591170302.208373,16481,-19.662967681884766
1591170321.098882,16561,-21.960081100463867
1591170340.00358,16641,-22.523557662963867
1591170358.883608,16721,-22.16071319580078
1591170377.492262,16801,-21.97928810119629
1591170396.523929,16881,-22.324010848999023
1591170417.249922,16961,-22.471927642822266
1591170435.890111,17041,-22.414539337158203
1591170454.880639,17121,-22.611839294433594
1591170473.576432,17201,-22.665164947509766
1591170492.13517,17281,-22.34619140625
1591170511.557911,17361,-22.81568717956543
1591170531.953723,17441,-22.485429763793945
1591170550.665796,17521,-20.70054054260254
1591170569.299131,17601,-22.56433868408203
1591170588.754847,17681,-23.21759605407715
1591170607.618218,17761,-22.771867752075195
1591170626.236315,17841,-22.375234603881836
1591170646.212422,17921,-23.041913986206055
1591170664.865843,18001,-22.121604919433594
1591170683.716609,18081,-22.966405868530273
1591170702.310025,18161,-23.133625030517578
1591170721.147444,18241,-22.75876808166504
1591170739.851661,18321,-22.007526397705078
1591170758.621767,18401,-23.52604866027832
1591170777.78694,18481,-22.984344482421875
1591170796.580384,18561,-23.22606658935547
1591170815.76543,18641,-23.388927459716797
1591170834.598818,18721,-23.268550872802734
1591170853.107384,18801,-23.344226837158203
1591170872.539908,18881,-23.259719848632812
1591170891.394793,18961,-23.583499908447266
1591170910.15258,19041,-23.7672119140625
1591170928.695298,19121,-23.99336051940918
1591170947.767546,19201,-20.10407829284668
1591170966.666218,19281,-18.525646209716797
1591170985.486215,19361,-20.206012725830078
1591171004.27171,19441,-21.727718353271484
1591171022.998925,19521,-22.300724029541016
1591171041.890132,19601,-23.502391815185547
1591171060.687214,19681,-23.482458114624023
1591171079.699428,19761,-23.116132736206055
1591171098.463577,19841,-24.079057693481445
1591171116.98822,19921,-23.721080780029297
1591171182.177057,20001,-23.288740158081055
1591171202.250974,20081,-23.984481811523438
1591171220.890138,20161,-24.121227264404297
1591171239.340539,20241,-23.827163696289062
1591171257.846251,20321,-24.24993133544922
1591171277.176164,20401,-24.366321563720703
1591171296.02481,20481,-24.320829391479492
1591171315.159373,20561,-24.17900276184082
1591171333.800828,20641,-23.647932052612305
1591171353.218248,20721,-24.07219696044922
1591171371.889113,20801,-24.231740951538086
1591171390.555789,20881,-24.472000122070312
1591171409.206863,20961,-24.213212966918945
1591171428.01642,21041,-21.720542907714844
1591171446.989577,21121,-23.449764251708984
1591171465.455879,21201,-24.357019424438477
1591171484.171409,21281,-22.91090965270996
1591171502.781495,21361,-23.990808486938477
1591171521.524153,21441,-23.860095977783203
1591171540.828253,21521,-23.013198852539062
1591171559.98873,21601,-24.091699600219727
1591171578.648579,21681,-24.312829971313477
1591171597.162467,21761,-24.227985382080078
1591171616.291153,21841,-24.087650299072266
1591171635.030737,21921,-23.912351608276367
1591171653.751688,22001,-24.227739334106445
1591171673.241624,22081,-24.014009475708008
1591171692.147868,22161,-24.294424057006836
1591171711.194639,22241,-24.200206756591797
1591171729.724727,22321,-24.52589988708496
1591171750.918507,22401,-24.297910690307617
1591171769.487368,22481,-22.74920654296875
1591171788.247668,22561,-24.18414306640625
1591171809.969115,22641,-24.129743576049805
1591171828.501215,22721,-24.297142028808594
1591171847.397046,22801,-24.215316772460938
1591171865.956196,22881,-24.256193161010742
1591171884.442413,22961,-24.202545166015625
1591171903.720402,23041,-23.645496368408203
1591171922.550832,23121,-24.13872718811035
1591171941.435335,23201,-24.46772003173828
1591171960.03869,23281,-24.747859954833984
1591171985.10397,23361,-24.45380210876465
1591172003.729801,23441,-24.249536514282227
1591172031.171059,23521,-24.526500701904297
1591172049.969437,23601,-24.060882568359375
1591172068.809505,23681,-24.719463348388672
1591172088.317871,23761,-24.594633102416992
1591172106.881033,23841,-24.673789978027344
1591172125.55961,23921,-24.670087814331055
1591172144.066389,24001,-24.21596908569336
1591172162.614312,24081,-24.938629150390625
1591172183.326739,24161,-24.13922119140625
1591172202.225441,24241,-24.596389770507812
1591172221.849768,24321,-23.83821678161621
1591172241.114377,24401,-25.290599822998047
1591172260.952665,24481,-24.59699058532715
1591172280.644783,24561,-24.34560203552246
1591172300.322335,24641,-24.370004653930664
1591172321.452635,24721,-22.557100296020508
1591172341.452228,24801,-23.89609146118164
1591172361.277429,24881,-25.19657325744629
1591172380.48029,24961,-20.238615036010742
1591172401.106589,25041,-20.682588577270508
1591172419.990495,25121,-22.600444793701172
1591172439.635686,25201,-24.293909072875977
1591172459.65098,25281,-24.529481887817383
1591172479.724138,25361,-23.11210823059082
1591172499.467687,25441,-23.345623016357422
1591172519.281288,25521,-24.153305053710938
1591172539.178267,25601,-24.370229721069336
1591172559.707068,25681,-23.89655113220215
1591172579.969728,25761,-23.712566375732422
1591172599.873467,25841,-24.14926528930664
1591172619.512561,25921,-24.862455368041992
1591172639.549378,26001,-24.515466690063477
1591172659.431138,26081,-24.550689697265625
1591172678.674593,26161,-24.014158248901367
1591172698.555635,26241,-24.43178367614746
1591172718.603614,26321,-24.99005889892578
1591172739.57827,26401,-24.28693199157715
1591172758.86078,26481,-23.58436393737793
1591172778.556236,26561,-24.450963973999023
1591172798.346973,26641,-23.250051498413086
1591172818.065366,26721,-25.10095977783203
1591172839.191657,26801,-24.35738182067871
1591172858.654812,26881,-24.754501342773438
1591172878.394843,26961,-24.181310653686523
1591172898.472427,27041,-22.632123947143555
1591172918.588924,27121,-24.7702579498291
1591172938.407141,27201,-23.321537017822266
1591172958.462082,27281,-24.793113708496094
1591172978.725789,27361,-23.510560989379883
1591172998.830304,27441,-23.99277114868164
1591173018.225129,27521,-24.818185806274414
1591173037.522943,27601,-24.872610092163086
1591173057.917059,27681,-24.529212951660156
1591173078.003424,27761,-24.600116729736328
1591173097.089922,27841,-23.540225982666016
1591173117.491411,27921,-25.007387161254883
1591173137.87901,28001,-24.58432960510254
1591173160.827521,28081,-22.70663833618164
1591173180.679649,28161,-22.677183151245117
1591173200.212172,28241,-22.71282196044922
1591173220.085463,28321,-21.01597785949707
1591173240.423068,28401,-22.790821075439453
1591173260.042893,28481,-23.485340118408203
1591173286.960916,28561,-24.523387908935547
1591173312.976769,28641,-24.89577293395996
1591173333.251424,28721,-21.829988479614258
1591173353.028337,28801,-24.404970169067383
1591173372.94126,28881,-24.47429084777832
1591173392.52654,28961,-25.01366424560547
1591173412.514794,29041,-24.824569702148438
1591173432.649553,29121,-24.63579559326172
1591173451.817015,29201,-24.719873428344727
1591173471.996135,29281,-24.850479125976562
1591173491.131329,29361,-24.889677047729492
1591173511.563298,29441,-24.76601219177246
1591173531.318836,29521,-23.378007888793945
1591173551.010238,29601,-24.347328186035156
1591173569.92127,29681,-22.002105712890625
1591173589.255155,29761,-22.32200050354004
1591173608.742342,29841,-23.6970157623291
1591173628.707766,29921,-22.467296600341797
1591173693.651987,30001,-23.45904541015625
1591173714.50638,30081,-22.498416900634766
1591173734.180731,30161,-23.209957122802734
1591173753.012362,30241,-23.571308135986328
1591173772.669471,30321,-24.096784591674805
1591173792.830788,30401,-23.27902603149414
1591173812.784732,30481,-24.290313720703125
1591173833.882562,30561,-25.396650314331055
1591173853.578237,30641,-22.713829040527344
1591173873.187506,30721,-25.169761657714844
1591173897.704068,30801,-23.609346389770508
1591173917.486719,30881,-24.77024269104004
1591173957.039827,30961,-19.542387008666992
1591173977.199457,31041,-21.66059684753418
1591173997.331101,31121,-22.178850173950195
1591174016.906938,31201,-22.252031326293945
1591174037.179098,31281,-22.54313087463379
1591174057.422537,31361,-27.002731323242188
1591174078.057183,31441,-27.836162567138672
1591174098.350103,31521,-28.106111526489258
1591174118.29,31601,-30.66440773010254
1591174138.726173,31681,-30.181640625
1591174158.318793,31761,-30.247926712036133
1591174177.644551,31841,-30.52604866027832
1591174197.258165,31921,-30.564462661743164
1591174217.191021,32001,-30.47842025756836
1591174236.630063,32081,-29.91256332397461
1591174256.96186,32161,-30.807172775268555
1591174285.928738,32241,-31.189489364624023
1591174306.417303,32321,-31.18486976623535
1591174326.912156,32401,-30.789037704467773
1591174346.355762,32481,-31.201948165893555
