Wall time,Step,Value
1591180330.317251,481,1.0
1591180581.680988,1521,1.0
1591180702.510706,2001,1.0
1591181024.824984,3281,1.0
1591181062.986315,3441,1.0
1591181120.000985,3681,1.0
1591181280.864916,4321,1.0
1591181338.822862,4561,1.0
1591181639.060819,5761,1.0
1591181699.319011,6001,1.0
1591182097.869649,7601,1.0
1591182263.826293,8241,1.0
1591182341.742223,8561,1.0
1591182788.805136,10161,1.0
1591183065.735535,11201,1.0
1591183401.886624,12481,1.0
1591183463.877061,12721,1.0
1591183650.126125,13441,1.0
1591183872.62853,14321,1.0
1591183972.773706,14721,1.0
1591184009.86782,14881,1.0
1591184028.280918,14961,1.0
1591184115.399087,15281,1.0
1591184460.061746,16641,1.0
1591184778.823738,17921,1.0
1591184904.666097,18401,1.0
1591185003.40822,18801,1.0
1591185354.08845,20001,1.0
1591185484.115521,20481,1.0
1591185587.582381,20881,1.0
1591185754.730552,21441,1.0
1591185837.294681,21761,1.0
1591185884.274011,21921,1.0
1591186283.45849,23441,1.0
1591186659.908535,24721,1.0
1591186698.304854,24881,1.0
1591186881.253849,25521,1.0
1591187136.452959,26481,1.0
1591187325.616197,27201,1.0
1591187492.352114,27841,1.0
1591187848.393932,29121,1.0
1591187933.088173,29441,1.0
1591189112.756176,33761,1.0
1591189133.228059,33841,1.0
1591189526.918954,35201,1.0
1591189593.440209,35441,1.0
1591189653.846279,35681,1.0
1591189976.726239,36881,1.0
1591190039.407982,37121,1.0
1591190061.183276,37201,1.0
1591190281.022248,38001,1.0
1591190632.299903,39361,1.0
1591190670.148046,39521,1.0
1591191163.177967,41201,1.0
1591191222.732506,41441,1.0
1591191519.979377,42561,1.0
1591191628.071684,42961,1.0
1591192071.83125,44641,1.0
1591192207.678757,45121,1.0
1591192433.726752,45921,1.0
1591192569.534223,46401,1.0
1591192617.395796,46561,1.0
1591192726.478366,46961,1.0
1591192746.358621,47041,1.0
1591193095.164977,48241,1.0
1591193496.125466,49681,1.0
1591193542.438212,49841,1.0
1591193871.965698,50801,1.0
1591194025.125259,51361,1.0
1591194049.790744,51441,1.0
1591194096.434527,51601,1.0
1591194165.627105,51841,1.0
1591194209.196405,52001,1.0
1591194486.672743,52961,1.0
1591194721.347767,53761,1.0
1591194998.149012,54721,1.0
1591195118.868234,55121,1.0
1591195738.58116,57201,1.0
1591195827.887589,57521,1.0
1591195920.405395,57841,1.0
1591195943.53229,57921,1.0
1591196097.792444,58481,1.0
1591196320.029538,59201,1.0
1591196417.516959,59521,1.0
