Wall time,Step,Value
1591166351.167636,81,0.0
1591166369.686631,161,0.0
1591166387.873775,241,0.0
1591166406.386038,321,0.0
1591166425.466993,401,0.0
1591166444.090323,481,0.0
1591166463.477185,561,0.0
1591166481.850815,641,0.0
1591166500.278961,721,0.0
1591166519.390635,801,0.0
1591166537.593703,881,0.0
1591166555.844135,961,0.0
1591166574.469931,1041,0.0
1591166593.263505,1121,0.0
1591166612.31722,1201,0.0
1591166630.569053,1281,0.0
1591166649.052071,1361,0.0
1591166667.605161,1441,0.0
1591166686.690858,1521,0.0
1591166705.817648,1601,0.0
1591166724.044903,1681,0.0
1591166742.452572,1761,0.0
1591166761.003914,1841,0.0
1591166780.146152,1921,0.0
1591166798.482167,2001,0.0
1591166820.748794,2081,0.0
1591166839.757427,2161,0.0
1591166858.077147,2241,0.0
1591166877.091786,2321,0.0
1591166895.475259,2401,0.0
1591166913.637372,2481,0.0
1591166932.097005,2561,0.0
1591166951.270409,2641,0.0
1591166969.633115,2721,0.0
1591166987.998329,2801,0.0
1591167006.092367,2881,0.0
1591167024.490521,2961,0.0
1591167043.204684,3041,0.0
1591167063.081126,3121,0.0
1591167082.378433,3201,0.0
1591167100.651987,3281,0.0
1591167119.144912,3361,0.0
1591167137.965817,3441,0.0
1591167156.382249,3521,0.0
1591167174.492891,3601,0.0
1591167193.415852,3681,0.0
1591167212.092938,3761,0.0
1591167230.900639,3841,0.0
1591167249.294943,3921,0.0
1591167267.550041,4001,0.0
1591167285.840892,4081,0.0
1591167306.710088,4161,0.0
1591167325.590844,4241,0.0
1591167344.121926,4321,0.0
1591167362.345251,4401,0.0
1591167380.570719,4481,0.0
1591167399.193427,4561,0.0
1591167418.114552,4641,0.0
1591167436.991359,4721,0.0
1591167455.503759,4801,0.0
1591167473.646981,4881,0.0
1591167492.649425,4961,0.0
1591167511.235967,5041,0.0
1591167529.183933,5121,0.0
1591167547.637079,5201,0.0
1591167565.980112,5281,0.0
1591167585.559963,5361,0.0
1591167603.819755,5441,0.0
1591167622.161913,5521,0.0
1591167640.904139,5601,0.0
1591167659.699578,5681,0.0
1591167678.397408,5761,0.0
1591167696.866767,5841,0.0
1591167715.071614,5921,0.0
1591167733.06025,6001,0.0
1591167751.760601,6081,0.0
1591167770.320564,6161,0.0
1591167789.420966,6241,0.0
1591167807.535609,6321,0.0
1591167826.956048,6401,0.0
1591167845.349993,6481,0.0
1591167863.610391,6561,0.0
1591167881.792334,6641,0.0
1591167899.760589,6721,0.0
1591167919.00314,6801,0.0
1591167937.38394,6881,0.0
1591167956.034876,6961,0.0
1591167973.919413,7041,0.0
1591167991.887311,7121,0.0
1591168010.608501,7201,0.0
1591168029.408178,7281,0.0
1591168047.836588,7361,0.0
1591168066.155339,7441,0.0
1591168084.172326,7521,0.0
1591168103.088918,7601,0.0
1591168121.103849,7681,0.0
1591168139.540599,7761,0.0
1591168157.838248,7841,0.0
1591168176.494169,7921,0.0
1591168194.824329,8001,0.0
1591168212.78862,8081,0.0
1591168231.058194,8161,0.0
1591168248.859158,8241,0.0
1591168267.575146,8321,0.0
1591168285.858412,8401,0.0
1591168303.980684,8481,0.0
1591168321.84527,8561,0.0
1591168339.843658,8641,0.0
1591168358.488479,8721,0.0
1591168376.765355,8801,0.0
1591168395.248824,8881,0.0
1591168413.702889,8961,0.0
1591168431.742306,9041,0.0
1591168450.644381,9121,0.0
1591168468.417761,9201,0.0
1591168486.90909,9281,0.0
1591168504.991405,9361,0.0
1591168523.590661,9441,0.0
1591168541.717382,9521,0.0
1591168559.886687,9601,0.0
1591168577.796349,9681,0.0
1591168595.530232,9761,0.0
1591168614.239704,9841,0.0
1591168632.724323,9921,0.0
1591168694.160067,10001,0.0
1591168713.593179,10081,0.0003955364227294922
1591168732.152384,10161,0.0007910728454589844
1591168750.925915,10241,0.0011866092681884766
1591168769.429884,10321,0.0015821456909179688
1591168788.239309,10401,0.001977682113647461
1591168806.972321,10481,0.002373218536376953
1591168825.933803,10561,0.0027687549591064453
1591168844.885123,10641,0.0031642913818359375
1591168863.214384,10721,0.0035598278045654297
1591168881.859778,10801,0.003955364227294922
1591168900.58715,10881,0.004350900650024414
1591168919.75042,10961,0.004746437072753906
1591168938.999726,11041,0.0051419734954833984
1591168957.800575,11121,0.005537509918212891
1591168976.156297,11201,0.005933046340942383
1591168994.588399,11281,0.006324112415313721
1591169013.578818,11361,0.006714940071105957
1591169032.644137,11441,0.007105767726898193
1591169051.195638,11521,0.00749659538269043
1591169070.157961,11601,0.007887423038482666
1591169088.706256,11681,0.008278250694274902
1591169107.584183,11761,0.008669078350067139
1591169126.238012,11841,0.009059906005859375
1591169146.363973,11921,0.009450733661651611
1591169164.94663,12001,0.009841561317443848
1591169183.946215,12081,0.010232388973236084
1591169202.831823,12161,0.01062321662902832
1591169221.305878,12241,0.011014044284820557
1591169240.429538,12321,0.011404871940612793
1591169258.858503,12401,0.01179569959640503
1591169277.959314,12481,0.012186527252197266
1591169296.695749,12561,0.012577354907989502
1591169315.32218,12641,0.012968182563781738
1591169334.318061,12721,0.013359010219573975
