Wall time,Step,Value
1591166351.166639,81,10.0
1591166369.685543,161,10.0
1591166387.872789,241,10.0
1591166406.385064,321,10.0
1591166425.46599,401,10.0
1591166444.089345,481,10.0
1591166463.476188,561,10.0
1591166481.849828,641,10.0
1591166500.277885,721,10.0
1591166519.389548,801,10.0
1591166537.592615,881,10.0
1591166555.843156,961,10.0
1591166574.468844,1041,10.0
1591166593.26253,1121,10.0
1591166612.316223,1201,10.0
1591166630.568064,1281,10.0
1591166649.050992,1361,10.0
1591166667.604174,1441,10.0
1591166686.68977,1521,10.0
1591166705.816658,1601,10.0
1591166724.043926,1681,10.0
1591166742.451581,1761,10.0
1591166761.002928,1841,10.0
1591166780.145145,1921,10.0
1591166798.481078,2001,10.0
1591166820.747822,2081,10.0
1591166839.756429,2161,10.0
1591166858.076062,2241,10.0
1591166877.090806,2321,10.0
1591166895.474283,2401,10.0
1591166913.63628,2481,10.0
1591166932.095986,2561,10.0
1591166951.269433,2641,10.0
1591166969.632134,2721,10.0
1591166987.997252,2801,10.0
1591167006.091379,2881,10.0
1591167024.489533,2961,10.0
1591167043.2036,3041,10.0
1591167063.080144,3121,10.0
1591167082.377454,3201,10.0
1591167100.650914,3281,10.0
1591167119.143918,3361,10.0
1591167137.964824,3441,10.0
1591167156.381259,3521,10.0
1591167174.491909,3601,10.0
1591167193.414862,3681,10.0
1591167212.091947,3761,10.0
1591167230.899651,3841,10.0
1591167249.293961,3921,10.0
1591167267.549058,4001,10.0
1591167285.839924,4081,10.0
1591167306.709102,4161,10.0
1591167325.58986,4241,10.0
1591167344.120945,4321,10.0
1591167362.344182,4401,10.0
1591167380.569654,4481,10.0
1591167399.192353,4561,10.0
1591167418.113586,4641,10.0
1591167436.990301,4721,10.0
1591167455.502688,4801,10.0
1591167473.645905,4881,10.0
1591167492.648462,4961,10.0
1591167511.234993,5041,10.0
1591167529.182953,5121,10.0
1591167547.636098,5201,10.0
1591167565.979139,5281,10.0
1591167585.558903,5361,10.0
1591167603.818696,5441,10.0
1591167622.160856,5521,10.0
1591167640.903165,5601,10.0
1591167659.698604,5681,10.0
1591167678.396328,5761,10.0
1591167696.865687,5841,10.0
1591167715.070649,5921,10.0
1591167733.059273,6001,10.0
1591167751.759534,6081,10.0
1591167770.319497,6161,10.0
1591167789.419912,6241,10.0
1591167807.534542,6321,10.0
1591167826.954989,6401,10.0
1591167845.348933,6481,10.0
1591167863.60943,6561,10.0
1591167881.791358,6641,10.0
1591167899.759525,6721,10.0
1591167919.002166,6801,10.0
1591167937.38287,6881,10.0
1591167956.033905,6961,10.0
1591167973.918447,7041,10.0
1591167991.886335,7121,10.0
1591168010.607524,7201,10.0
1591168029.40721,7281,10.0
1591168047.835611,7361,10.0
1591168066.154375,7441,10.0
1591168084.171356,7521,10.0
1591168103.087849,7601,10.0
1591168121.102874,7681,10.0
1591168139.53963,7761,10.0
1591168157.837281,7841,10.0
1591168176.493202,7921,10.0
1591168194.823361,8001,10.0
1591168212.787652,8081,10.0
1591168231.057229,8161,10.0
1591168248.85819,8241,10.0
1591168267.57409,8321,10.0
1591168285.857451,8401,10.0
1591168303.979712,8481,10.0
1591168321.844301,8561,10.0
1591168339.842593,8641,10.0
1591168358.487502,8721,10.0
1591168376.764384,8801,10.0
1591168395.247852,8881,10.0
1591168413.701928,8961,10.0
1591168431.741347,9041,10.0
1591168450.643422,9121,10.0
1591168468.416786,9201,10.0
1591168486.908023,9281,10.0
1591168504.990334,9361,10.0
1591168523.589705,9441,10.0
1591168541.716406,9521,10.0
1591168559.885705,9601,10.0
1591168577.79538,9681,10.0
1591168595.52927,9761,10.0
1591168614.238653,9841,10.0
1591168632.723266,9921,10.0
1591168694.1591,10001,10.0
1591168713.592114,10081,8.881720542907715
1591168732.151415,10161,7.888495922088623
1591168750.924856,10241,7.00634241104126
1591168769.428911,10321,6.222838878631592
1591168788.238245,10401,5.526952743530273
1591168806.971358,10481,4.908884048461914
1591168825.93283,10561,4.359930992126465
1591168844.884156,10641,3.872368574142456
1591168863.213411,10721,3.4393296241760254
1591168881.858813,10801,3.054716110229492
1591168900.586168,10881,2.713113784790039
1591168919.749365,10961,2.4097111225128174
